street	intersections	agencies	number_violations
ARTHUR AVE	e 176|e 183 st|e 176 st	P	66
ARTHUR AVENUE		S|P	167
Asch Loop	n/of aldrich st|e/of alcott pl|n/of adler pl|bldg 20c|n/of co op city|e/of co op city|s/of adler pl|w/of co op city|s/of co op cit|e/of aldrich st|n/of alcott pl|s/of alcott pl|s/of co op city|w/of adler pl|e/of adler pl|n/of aldrich s|s/of aldrich s|w/of co op cit|w/of alcott pl|s/of aldrich st|e/of aldrich s|w/of aldrich st|building 20 c	T	552
Aster Pl		T	9
ASTOR	barnes ave|barnes|wallace	P	7
Astor Ave	w/of wallace ave|w/of young ave|w/of williamsbr|e/of williamsbr|e/of boston rd|e/of paulding|e/of matthews a|e/of throop ave|e/of colden av|e/of paulding a|n/of williamsbr|e/of wallace av|n/of bronxwood|w/of paulding av|s/of boston rd|e/of wallace ave|e/of esplanade a|e/of matthews av|s/of cruger ave|e/of esplanade|e/of white plai|w/of holland ave|w/of bouck ave|w/of colden ave|e/of bronxwood|w/of cruger ave|w/of paulding a|w/of williamsb|n/of barnes ave|e/of holland av|n/of matthews a|w/of colden av|e/of barnes ave|w/of barnes ave|e/of colden ave|w/of bronxwood|w/of matthews a|e/of cruger ave|s/of bronxwood|w/of boston rd|s/of kingsland|e/of bouck ave|n/of cruger ave|e/of bronxwood a|n/of paulding a|e/of bronxdale|e/of colgate ave|e/of holland a|w/of paulding|w/of williamsbri|n/of paulding	T	1087
ASTOR AVE	barnes ave|io holland ave|holland|wallace ave|i/o wallace ave|matthews ave|holland ave|i/o mattews|i/o holland	P	208
ASTOR AVENUE		S|P	708
AUSTIN PL		P	5
Austin Pl	n/of e 149th st|e/of e 149th st|n/of e 147th st|s/of e 149th st|s/of e 147th st|n/of e 144th st|n/of e 132nd st|e/of e 147th st|e/of e 144th st|w/of e 149th s	T	308
AUSTIN PLACE		S|P	76
AVE ST JOHN		P	9
Avenue Saint John	s/of kelly st|n/of fox st|e/of beck st|w/of kelly st|e/of fox st|e/of kelly st|w/of southern bl|w/of beck st|w/of timpson pl|e/of southern bl|s/of southern b|w/of fox st|s/of fox st|n/of beck st|n/of southern b|s/of beck st|w/of southern b|e/of southern b|s/of southern bl	T	465
AVENUE ST JOHN		S|P	296
Back of 807 Westches	ter ave. on r/s unio	S	4
BAILEY		P	8
Bailey Ave	s/of w 238th s|w/of sedgwick|n/of sedgwick a|w/of w 234th st|s/of w 239th s|n/of w kingsbri|n/of albany cre|n/of haight ave|e/of w 225th st|e/of heath ave|n/of w 193rd s|w/of fort indep|w/of w 233rd st|s/of w 233rd st|s/of bailey pl|e/of sedgwick|s/of w 238th st|e/of w 235th st|s/of e 139th st|n/of w kingsbrid|n/of w 193rd st|n/of webb ave|w/of sedgwick a|n/of sedgwick|n/of w 233rd st|n/of w 229th st|w/of w 238th st|s/of heath ave|s/of sedgwick|n/of heath ave|s/of w kingsbr|n/of w 234th st|s/of sedgwick a|n/of e 225th s|s/of w 225th st|s/of w 225th s|n/of w 225th st|s/of w kingsbri|s/of w 193rd st|s/of w 234th st|s/of w 193rd s|e/of w 234th st|w/of w 225th st|n/of w 238th st|s/of w 231st st|n/of w 231st st|s/of e 233rd st|n/of sedgwick av|e/of fort indepe|n/of w 229th s|s/of w kingsbrid|s/of e 193rd st|n/of kingsbridg|w229st|s/of w 229th st|e/of w 193rd s|n/of w 230th s|n/of albany cres|e/of w 193rd st	T	2665
BAILEY AVE	w 238 st|w 234 st|w 238|heath|heath ave	S|P	217
BAILEY AVE LOT		P	4
BAILEY AVENUE		P|S	1347
Bailey Pl	s/of fort indep|w/of fort indepe|e/of fort indep|w/of fort inde|n/of fort indep|w/of fort indep|s/of w 234th st|n/of w 233rd st|w/of w 233rd st|s/of fort indepe	T	305
BAILEY PL	fort ind|ft independence	P	10
BAILEY PLACE	fort inde	S|P	81
BAINBRIDGE		P	24
Bainbridge Ave	s/of e 199th st|w/of van cortl|n/of e 194th st|n/of e 210th st|s/of e mosholu p|n/of reservoir|n/of e 212th s|s/of jerome ave|n/of e 207th st|w/of e 208th st|s/of van cortlan|w/of van cortlan|n/of e 196th st|w/of van cortla|e/of mosholu pk|s/of e 206th s|w/of mosholu pk|e/of e mosholu p|e/of e 197th s|n/of e 211th st|n/of e 197th st|s/of tryon ave|n/of fordham pl|s/of jerome av|w/of e 214th st|s/of bedford pa|s/of e 193rd st|n/of van cortla|s/of bedford par|n/of e 205th st|e/of e kingsbri|s/of e 196th st|w/of e mosholu|n/of e fordham r|n/of e 213th s|w/of e 210th s|s/of reservoir|corner of e 212 st|s/of e 205th st|s/of e 213th st|n/of bedford par|n/of e mosholu|s/of e gun hil|e/of e 199th st|n/of e 211th s|e/of reservoir|n/of e 201st s|resvior oval west|n/of bedford p|s/of e 211th st|e/of e gun hill|s/of e 213th s|n/of jerome av|n/of e 198th s|e/of e 205th st|e/of e fordham|w/of jerome ave|n/of e 212th st|s/of e 210th st|n/of e 201st st|n/of e fordham|w/of e 205th st|w/of e 207th st|s/of mosholu pk|s/of e 197th st|s/of e 194th st|w/of e 211th st|s/of e 208th st|n/of bedford pa|n/of e 199th st|n/of e 198th st|n/of e 210th s|s/of e mosholu|n/of e gun hill|n/of e 213th st|s/of e gun hill|s/of e 198th st|s/of e 212th s|s/of e 212th st|e/of e 201st st|n/of e 193rd st|n/of mosholu pk|w/of e 210th st|s/of mosholu pky|s/of van cortla|e/of e mosholu|s/of e 204th st|e/of e 210th st|w/of e mosholu p|n/of van cortlan|e/of e 207th st|e/of e 204th st|w/of e 212th st|e/of e 208th st|n/of e kingsbri|e/of e 196th st|e/of e 212th st|n/of e 206th st|n/of e mosholu p|w/of e 196th st|e/of e fordham r|n/of e 204th st|s/of e kingsbri|n/of e 196th s|e/of mosholu pky|s/of e fordham|e/of jerome av|e/of bedford par|s/of e 207th st|s/of e fordham r|e/of dekalb ave|s/of coles ln|s/of e 201st st|e/of e 194th st|n/of van cortl|w/of e 193rd st|w/of e 194th st|e/of coles ln|e/of e 213th st|n/of coles ln|20' south of address|w/of reservoir|n/of e 199th s|e/of van cortla|e/of e 193rd st|w/of e 206th st|w/of e gun hil|s/of van cortl|e/of e 210th s	T	13480
BAINBRIDGE AVE	e 196 st	P	130
BAINBRIDGE AVENUE		S|P	532
BAISLEY	hobart ave	P	5
Baisley Ave	s/of bradford a|s/of crosby ave|e/of hobart ave|w/of edison ave	T	62
BAISLEY AVE	edison ave|hobart	P	17
BAISLEY AVENUE		S	35
Baker Ave	e/of arnow ave|n/of white plai|s/of allerton|w/of unionport|e/of white plai|w/of white plai|s/of arnow ave|s/of thwaites p|n/of thwaites p|w/of white plain|s/of thwaites pl|n/of white plain|n/of allerton a|s/of white plai|n/of reiss pl	T	325
BAKER AVE		P	6
BAKER AVENUE		S|P	25
BALCOLM AVE		P	4
BALCOM	miles ave	P	4
Balcom Ave	s/of edwards a|n/of sampson av|e/of gifford av|e/of bruckner b|w/of waterbury a|w/of edwards ave|w/of edwards av|s/of randall a|n/of sampson a|w/of sampson av|w/of gifford av|s/of dewey ave|e/of sampson av|s/of ericson pl|s/of schley av|n/of schley av|n/of schurz ave|e/of schley ave|e/of miles ave|e/of randall a|w/of latting st|s/of edwards ave|s/of sampson av|w/of whittemor|w/of whittemore|e/of dewey ave|s/of edwards av|s/of schley ave|w/of randall av|n/of latting st|e/of latting st|w/of dewey ave|s/of gifford av|n/of harding av|e/of waterbury|w/of miles ave|e/of ericson pl|e/of whittemore|n/of dewey ave|e/of edwards av|w/of sampson ave|e/of edwards ave|n/of edwards av|s/of sampson a|w/of sampson a|n/of whittemor|s/of latting st|n/of whittemore|s/of waterbury	T	523
BALCOM AVE	miles ave	P	44
BALCOM AVENUE		S|P	76
Bantam Pl		T	12
BARKER	allerton|arnow ave|van nest	P	17
