street	intersections	agencies	number_violations
20th Ave	n/of 59th st|w/of stillwell|s/of 86th st|w/of dahill rd|n/of 63rd st|n/of 57th st|s/of 84th st|w/of 73rd st|e/of cropsey av|n/of 83rd st|n/of 66th st|s/of 68th st|n/of 58th st|e/of 84th st|n/of 73rd st|w/of 60th st|n/of 20th ln|w/of 70th st|s/of w 12th st|e/of 59th st|w/of 68th st|s/of 20th ln|e/of 74th st|e/of shore pky|s/of 54th st|e/of 20th ln|w/of 79th st|s/of 63rd st|w/of mcdonald a|w/of 86th st|s/of 67th st|s/of 53rd st|w/of 54th st|n/of 70th st|n/of 76th st|n/of 54th st|e/of 72nd st|n/of 20th dr|e/of 66th st|e/of 58th st|s/of 20th dr|n/of 68th st|w/of 67th st|e/of 7th st|s/of benson ave|n/of 86th st|s/of 85th st|e/of 79th st|s/of 96th st|e/of dahill rd|n/of shore pky|s/of 64th st|w/of 58th st|s/of mcdonald av|e/of bay ridge a|s/of 66th st|w/of 20th ln|s/of 82nd st|e/of 54th st|e/of 68th st|n/of 53rd st|s/of 59th st	T	2147
20TH AVENUE		P	9
20th Dr	n/of 20th ave|n/of 20th ln|s/of 20th ave|e/of 19th ln|s/of 19th ln|n/of 19th ln|w/of 20th ln|w/of 20th ave|s/of 20th ln	T	76
20th Ln	e/of 20th ave|n/of boardwalk|s/of 21st dr|w/of 21st dr|e/of 20th dr|w/of 20th ave|s/of 20th ave|w/of 21st ave|n/of 20th ave|n/of 19th ln|e/of 21st dr|e/of 25th ave|s/of 19th ln|e/of shore pky	T	346
20th St	s/of 4th ave|w/of 6th ave|w/of 5th ave|e/of 6th ave|w/of 10th ave|e/of 7th ave|e/of 4th ave|w/of 3rd ave|s/of 7th ave|s/of 6th ave|w/of 4th ave|n/of 4th ave|e/of 5th ave|e/of 3rd ave|e/of 21st ave|w/of terrace pl	T	753
21 AVE	57 st|i/o 733 21 ave	P	75
21 AVENUE		S|P	153
21 ST	kenmore pl	P	16
21 STREET		S|P	72
21st Ave	s/of 74th st|w/of 66th st|s/of bay ridge|n/of 57th st|s/of dahill rd|n/of 86th st|w/of dahill rd|w/of 58th st|s/of shore pky|s/of 83rd st|n/of cropsey a|e/of 66th st|w/of cropsey a|n/of 78th st|s/of 65th st|e/of dahill rd|e/of cropsey av|n/of 58th st|w/of 86th st|n/of 67th st|w/of bay ridge p|e/of 76th st|w/of 76th st|s/of 20th ln|n/of 60th st|w/of cropsey ave|e/of 79th st|s/of 67th st|w/of 65th st|s/of 72nd st|s/of bath ave|n/of bay ridge|e/of bay ridge p|s/of 79th st|n/of 54th st|s/of 57th st|n/of dahill rd|w/of 62nd st|s/of 84th st|e/of 78th st|e/of 72nd st|s/of bay ridge p|s/of 59th st|s/of 86th st|e/of shore pky|w/of 21st dr|e/of 57th st|e/of 68th st|n/of 65th st|w/of cropsey av|n/of shore pky|s/of 53rd st|e/of 21st dr|s/of 73rd st|s/of 68th st|n/of 62nd st|n/of 77th st|w/of 70th st|n/of 79th st|e/of 86th st|e/of 16th ave|n/of 21st ln|w/of 57th st|s/of 64th st|e/of 5th ave|n/of 76th st|s/of 78th st|s/of cropsey av|s/of 81st st|e/of 65th st|e/of 82nd st|w/of 73rd st|w/of 77th st|w/of 68th st|w/of 67th st|s/of 58th st|s/of 52nd st|n/of 53rd st|e/of 85th st|w/of 61st st|e/of 21st ln|s/of cropsey a|s/of 54th st|e/of 71st st|w/of 22nd st|e/of 64th st|e/of 74th st|w/of bay ridge a|e/of 77th st|n/of 81st st|s/of 66th st|e/of cropsey a|n/of 66th st|s/of 77th st|s/of 21st ln|n/of 63rd st|s/of 76th st|n/of benson ave|s/of 61st st|w/of bay ridge|n/of 72nd st|e/of 63rd st|e/of bath ave|w/of 53rd st|s/of 21st dr|e/of 58th st|e/of 62nd st|n/of 21st dr|n/of 74th st|n/of 84th st|w/of 72nd st|n/of 80th st|e/of cropsey ave|n/of 82nd st|w/of 74th st|s/of 82nd st|s/of 70th st|s/of e 79th st|e/of benson ave|n/of 68th st|n/of 59th st|s/of 62nd st|s/of 63rd st|w/of 63rd st|n/of emmons ave|n/of bay ridge a|n/of rockaway p|s/of rockaway p|n/of 85th st|e/of 80th st|e/of 81st st|e/of 67th st	T	2231
21ST AVE	56 street|57 street	P	14
21st Dr	s/of 21st ave|e/of 20th ln|s/of 20th ln|n/of 20th ln|s/of cropsey av|n/of shore pky|s/of shore pky|e/of 21st ln|e/of 20th ave|n/of 20th ave|w/of 20th ln|e/of 21st ave|n/of 21st ave|w/of 21st ave|w/of 21st ln|e/of 25th ave	T	137
21st Ln	s/of 20th ln|w/of 21st ave|s/of 21st dr|e/of 20th ave	T	19
21st St	w/of 7th ave|w/of 6th ave|s/of 3rd ave|e/of 6th ave|n/of 5th ave|w/of 5th ave|e/of avenue y|e/of 5th ave|w/of 21st dr|s/of 5th ave|n/of church ave|w/of 20th ln|w/of foster ave|e/of 4th ave|s/of church ave|e/of 7th ave|w/of newkirk ave|e/of 3rd ave|w/of 4th ave|w/of 3rd ave|n/of 6th ave	T	534
22 ST		P	16
22 STREET		S|P	197
22nd St	n/of 3rd ave|e/of 4th ave|e/of 6th ave|s/of 5th ave|n/of 6th ave|w/of 4th ave|w/of 7th ave|s/of 4th ave|w/of 5th ave|w/of 3rd ave|a|w/of 6th ave|n/of avenue u	T	337
23 AVE		P	27
23 AVENUE		P|S	181
23 ST		P	11
23 STREET		S|P	170
23RD AVE		P	6
